HDFC Bank Quarterly Net Income (Millions of US $),HDFC Bank Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,977"
2024-03-31,"$1,857"
2023-12-31,"$2,071"
2023-09-30,"$2,034"
2023-06-30,"$1,509"
2023-03-31,"$1,843"
2022-12-31,"$1,549"
2022-09-30,"$1,391"
2022-06-30,"$1,245"
2022-03-31,$-264
2021-12-31,"$1,409"
2021-09-30,"$2,865"
2021-06-30,"$1,077"
2020-12-31,"$1,193"
2020-09-30,"$1,040"
2019-09-30,
2014-09-30,
2014-06-30,$375
2014-03-31,$384
2013-12-31,$378
2013-09-30,$320
2013-06-30,$309
2013-03-31,$349
2012-12-31,$344
2012-09-30,$284
2012-06-30,$257
2012-03-31,$287
2011-12-31,$280
2011-09-30,$262
2011-06-30,$242
2011-03-31,$245
2010-12-31,$239
2010-09-30,$201
2010-06-30,$179
2010-03-31,$188
2009-12-31,$176
2009-09-30,$144
2009-06-30,$124
2009-03-31,$126
