Xencor Quarterly Net Income (Millions of US $),Xencor Quarterly Net Income (Millions of US $).1
2024-06-30,$-66
2024-03-31,$-68
2023-12-31,$-19
2023-09-30,$-24
2023-06-30,$-22
2023-03-31,$-61
2022-12-31,$-12
2022-09-30,$-33
2022-06-30,$-34
2022-03-31,$24
2021-12-31,$73
2021-09-30,$-40
2021-06-30,$52
2021-03-31,$-2
2020-12-31,$-14
2020-09-30,$-13
2020-06-30,$-35
2020-03-31,$-8
2019-12-31,$-27
2019-09-30,$-10
2019-06-30,$-16
2019-03-31,$80
2018-12-31,$-18
2018-09-30,$3
2018-06-30,$-26
2018-03-31,$-29
2017-12-31,$7
2017-09-30,$-23
2017-06-30,$-8
2017-03-31,$-15
2016-12-31,$12
2016-09-30,$-8
2016-06-30,$47
2016-03-31,$-6
2015-12-31,$8
2015-09-30,$-10
2015-06-30,$-9
2015-03-31,$-6
2014-12-31,$-1
2014-09-30,$-6
2014-06-30,$-5
2014-03-31,$-4
2013-12-31,$-4
2013-09-30,$-4
2013-06-30,$97
2013-03-31,$-5
2012-12-31,
2012-09-30,
2011-12-31,
