Paychex Quarterly Net Income (Millions of US $),Paychex Quarterly Net Income (Millions of US $).1
2024-05-31,$380
2024-02-29,$499
2023-11-30,$393
2023-08-31,$419
2023-05-31,$350
2023-02-28,$467
2022-11-30,$360
2022-08-31,$379
2022-05-31,$296
2022-02-28,$431
2021-11-30,$332
2021-08-31,$334
2021-05-31,$263
2021-02-28,$351
2020-11-30,$272
2020-08-31,$212
2020-05-31,$221
2020-02-29,$355
2019-11-30,$259
2019-08-31,$264
2019-05-31,$230
2019-02-28,$325
2018-11-30,$236
2018-08-31,$244
2018-05-31,$218
2018-02-28,$367
2017-11-30,$199
2017-08-31,$210
2017-05-31,$204
2017-02-28,$203
2016-11-30,$202
2016-08-31,$217
2016-05-31,$178
2016-02-29,$180
2015-11-30,$189
2015-08-31,$209
2015-05-31,$161
2015-02-28,$169
2014-11-30,$173
2014-08-31,$171
2014-05-31,$146
2014-02-28,$160
2013-11-30,$159
2013-08-31,$163
2013-05-31,$124
2013-02-28,$145
2012-11-30,$148
2012-08-31,$153
2012-05-31,$123
2012-02-29,$135
2011-11-30,$140
2011-08-31,$149
2011-05-31,$119
2011-02-28,$131
2010-11-30,$134
2010-08-31,$132
2010-05-31,$116
2010-02-28,$112
2009-11-30,$126
2009-08-31,$124
2009-05-31,$114
2009-02-28,$131
