Helix Energy Solutions Quarterly Net Income (Millions of US $),Helix Energy Solutions Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$-26
2023-12-31,$-28
2023-09-30,$16
2023-06-30,$7
2023-03-31,$-5
2022-12-31,$3
2022-09-30,$-19
2022-06-30,$-30
2022-03-31,$-42
2021-12-31,$-26
2021-09-30,$-19
2021-06-30,$-14
2021-03-31,$-3
2020-12-31,$2
2020-09-30,$24
2020-06-30,$5
2020-03-31,$-12
2019-12-31,$8
2019-09-30,$32
2019-06-30,$17
2019-03-31,$1
2018-12-31,$-13
2018-09-30,$27
2018-06-30,$18
2018-03-31,$-3
2017-12-31,$50
2017-09-30,$2
2017-06-30,$-6
2017-03-31,$-16
2016-12-31,$-54
2016-09-30,$11
2016-06-30,$-11
2016-03-31,$-28
2015-12-31,$-404
2015-09-30,$10
2015-06-30,$-3
2015-03-31,$20
2014-12-31,$8
2014-09-30,$76
2014-06-30,$57
2014-03-31,$54
2013-12-31,$37
2013-09-30,$45
2013-06-30,$27
2013-03-31,$2
2012-12-31,$-172
2012-09-30,$15
2012-06-30,$45
2012-03-31,$66
2011-12-31,$17
2011-09-30,$45
2011-06-30,$41
2011-03-31,$26
2010-12-31,$-50
2010-09-30,$26
2010-06-30,$-86
2010-03-31,$-18
2009-12-31,$-56
2009-09-30,$4
2009-06-30,$100
2009-03-31,$53
