Timken Quarterly Net Income (Millions of US $),Timken Quarterly Net Income (Millions of US $).1
2024-06-30,$96
2024-03-31,$104
2023-12-31,$59
2023-09-30,$88
2023-06-30,$125
2023-03-31,$122
2022-12-31,$97
2022-09-30,$87
2022-06-30,$105
2022-03-31,$118
2021-12-31,$63
2021-09-30,$88
2021-06-30,$105
2021-03-31,$113
2020-12-31,$53
2020-09-30,$89
2020-06-30,$62
2020-03-31,$81
2019-12-31,$114
2019-09-30,$64
2019-06-30,$93
2019-03-31,$92
2018-12-31,$60
2018-09-30,$72
2018-06-30,$91
2018-03-31,$80
2017-12-31,$29
2017-09-30,$54
2017-06-30,$83
2017-03-31,$38
2016-12-31,$-7
2016-09-30,$34
2016-06-30,$48
2016-03-31,$66
2015-12-31,$224
2015-09-30,$63
2015-06-30,$37
2015-03-31,$-135
2014-12-31,$47
2014-09-30,$-22
2014-06-30,$63
2014-03-31,$84
2013-12-31,$53
2013-09-30,$52
2013-06-30,$83
2013-03-31,$75
2012-12-31,$75
2012-09-30,$81
2012-06-30,$183
2012-03-31,$155
2011-12-31,$109
2011-09-30,$111
2011-06-30,$121
2011-03-31,$112
2010-12-31,$89
2010-09-30,$70
2010-06-30,$86
2010-03-31,$29
2009-12-31,$-20
2009-09-30,$-50
2009-06-30,$-65
2009-03-31,$1
