TEGNA Quarterly Net Income (Millions of US $),TEGNA Quarterly Net Income (Millions of US $).1
2024-06-30,$82
2024-03-31,$190
2023-12-31,$76
2023-09-30,$96
2023-06-30,$200
2023-03-31,$104
2022-12-31,$219
2022-09-30,$146
2022-06-30,$132
2022-03-31,$134
2021-12-31,$129
2021-09-30,$128
2021-06-30,$107
2021-03-31,$113
2020-12-31,$244
2020-09-30,$132
2020-06-30,$20
2020-03-31,$86
2019-12-31,$84
2019-09-30,$48
2019-06-30,$80
2019-03-31,$74
2018-12-31,$161
2018-09-30,$97
2018-06-30,$93
2018-03-31,$55
2017-12-31,$304
2017-09-30,$43
2017-06-30,$-130
2017-03-31,$58
2016-12-31,$133
2016-09-30,$119
2016-06-30,$99
2016-03-31,$85
2015-12-31,$156
2015-09-30,$88
2015-06-30,$116
2015-03-31,$113
2014-12-31,$483
2014-09-30,$119
2014-06-30,$208
2014-03-31,$59
2013-12-31,$91
2013-09-30,$80
2013-06-30,$114
2013-03-31,$105
2012-12-31,$103
2012-09-30,$133
2012-06-30,$120
2012-03-31,$68
2011-12-31,$117
2011-09-30,$100
2011-06-30,$152
2011-03-31,$90
2010-12-31,$174
2010-09-30,$101
2010-06-30,$195
2010-03-31,$117
2009-12-31,$134
2009-09-30,$74
2009-06-30,$70
2009-03-31,$77
