Enpro Quarterly Net Income (Millions of US $),Enpro Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$13
2023-12-31,$-5
2023-09-30,$8
2023-06-30,$-19
2023-03-31,$37
2022-12-31,$127
2022-09-30,$27
2022-06-30,$34
2022-03-31,$17
2021-12-31,$103
2021-09-30,$28
2021-06-30,$29
2021-03-31,$18
2020-12-31,$-15
2020-09-30,$-20
2020-06-30,$-7
2020-03-31,$219
2019-12-31,$3
2019-09-30,$-2
2019-06-30,$24
2019-03-31,$13
2018-12-31,$-27
2018-09-30,$24
2018-06-30,$10
2018-03-31,$13
2017-12-31,$34
2017-09-30,$490
2017-06-30,$9
2017-03-31,$6
2016-12-31,$-3
2016-09-30,$6
2016-06-30,$4
2016-03-31,$-47
2015-12-31,$7
2015-09-30,$11
2015-06-30,$-37
2015-03-31,$-2
2014-12-31,$4
2014-09-30,$9
2014-06-30,$8
2014-03-31,$1
2013-12-31,$5
2013-09-30,$6
2013-06-30,$8
2013-03-31,$9
2012-12-31,$6
2012-09-30,$11
2012-06-30,$10
2012-03-31,$14
2011-12-31,$3
2011-09-30,$14
2011-06-30,$12
2011-03-31,$15
2010-12-31,$6
2010-09-30,$5
2010-06-30,$45
2010-03-31,$99
2009-12-31,$-39
2009-09-30,$2
2009-06-30,$-106
2009-03-31,$3
