Huron Consulting Group Quarterly Net Income (Millions of US $),Huron Consulting Group Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$18
2023-12-31,$3
2023-09-30,$22
2023-06-30,$25
2023-03-31,$13
2022-12-31,$17
2022-09-30,$18
2022-06-30,$14
2022-03-31,$27
2021-12-31,$31
2021-09-30,$14
2021-06-30,$13
2021-03-31,$5
2020-12-31,$-6
2020-09-30,$11
2020-06-30,$14
2020-03-31,$-42
2019-12-31,$14
2019-09-30,$14
2019-06-30,$10
2019-03-31,$3
2018-12-31,$3
2018-09-30,$8
2018-06-30,$5
2018-03-31,$-3
2017-12-31,$-30
2017-09-30,$4
2017-06-30,$-150
2017-03-31,$5
2016-12-31,$4
2016-09-30,$12
2016-06-30,$15
2016-03-31,$6
2015-12-31,$19
2015-09-30,$19
2015-06-30,$19
2015-03-31,$2
2014-12-31,$13
2014-09-30,$12
2014-06-30,$20
2014-03-31,$34
2013-12-31,$22
2013-09-30,$17
2013-06-30,$16
2013-03-31,$11
2012-12-31,$19
2012-09-30,$10
2012-06-30,$7
2012-03-31,$1
2011-12-31,$7
2011-09-30,$0
2011-06-30,$9
2011-03-31,$4
2010-12-31,$-4
2010-09-30,$7
2010-06-30,$2
2010-03-31,$3
2009-12-31,$14
2009-09-30,$-64
2009-06-30,$10
2009-03-31,$7
