"Grupo Simec, S.A De C.V Quarterly Net Income (Millions of US $)","Grupo Simec, S.A De C.V Quarterly Net Income (Millions of US $).1"
2024-06-30,$231
2024-03-31,$86
2023-09-30,$106
2023-06-30,$56
2023-03-31,$55
2022-12-31,$-10
2022-09-30,$96
2022-06-30,$180
2022-03-31,$122
2021-12-31,$53
2021-09-30,$166
2021-06-30,$117
2021-03-31,$130
2020-09-30,$45
2020-06-30,$23
2019-12-31,$-198
2019-09-30,$42
2019-06-30,$20
2019-03-31,$51
2018-09-30,$73
2018-06-30,$35
2017-09-30,$41
2017-06-30,$33
2016-12-31,$-84
2016-09-30,$83
2016-06-30,$98
2016-03-31,$57
2015-12-31,$-152
2015-09-30,$-18
2015-06-30,$64
2015-03-31,$30
2014-12-31,$23
2014-09-30,$35
2014-06-30,$30
2014-03-31,$25
2013-12-31,$11
2013-09-30,$39
2013-06-30,$44
2013-03-31,$24
2012-12-31,$5
2012-09-30,$44
2012-06-30,$78
2012-03-31,$56
2011-12-31,$82
2011-09-30,$56
2011-06-30,$41
2011-03-31,$40
2010-12-31,$24
2010-09-30,$8
2010-06-30,$31
2010-03-31,$47
2009-12-31,$1
2009-09-30,$20
2009-06-30,$7
2009-03-31,$31
