F.N.B Quarterly Net Income (Millions of US $),F.N.B Quarterly Net Income (Millions of US $).1
2024-06-30,$123
2024-03-31,$116
2023-12-31,$49
2023-09-30,$143
2023-06-30,$140
2023-03-31,$145
2022-12-31,$137
2022-09-30,$136
2022-06-30,$107
2022-03-31,$51
2021-12-31,$97
2021-09-30,$109
2021-06-30,$100
2021-03-31,$91
2020-12-31,$70
2020-09-30,$81
2020-06-30,$82
2020-03-31,$45
2019-12-31,$93
2019-09-30,$101
2019-06-30,$93
2019-03-31,$92
2018-12-31,$98
2018-09-30,$99
2018-06-30,$83
2018-03-31,$85
2017-12-31,$22
2017-09-30,$76
2017-06-30,$72
2017-03-31,$21
2016-12-31,$49
2016-09-30,$50
2016-06-30,$39
2016-03-31,$24
2015-12-31,$37
2015-09-30,$38
2015-06-30,$38
2015-03-31,$38
2014-12-31,$37
2014-09-30,$33
2014-06-30,$33
2014-03-31,$32
2013-12-31,$28
2013-09-30,$32
2013-06-30,$29
2013-03-31,$29
2012-12-31,$29
2012-09-30,$31
2012-06-30,$29
2012-03-31,$22
2011-12-31,$24
2011-09-30,$24
2011-06-30,$22
2011-03-31,$17
2010-12-31,$24
2010-09-30,$17
2010-06-30,$18
2010-03-31,$16
2009-12-31,$5
2009-09-30,$5
2009-06-30,$9
2009-03-31,$14
