Iamgold Quarterly Net Income (Millions of US $),Iamgold Quarterly Net Income (Millions of US $).1
2024-06-30,$85
2024-03-31,$55
2023-12-31,$-9
2023-09-30,$-1
2023-06-30,$93
2023-03-31,$12
2022-12-31,$24
2022-09-30,$-108
2022-06-30,$-10
2022-03-31,$24
2021-12-31,$-194
2021-09-30,$-75
2021-06-30,$-5
2021-03-31,$20
2020-12-31,$63
2020-09-30,$-12
2020-06-30,$26
2020-03-31,$-34
2019-12-31,$-354
2019-09-30,$-3
2019-06-30,$-14
2019-03-31,$-41
2018-12-31,$-35
2018-09-30,$-10
2018-06-30,$-26
2018-03-31,$42
2017-12-31,$-18
2017-09-30,$31
2017-06-30,$507
2017-03-31,$-18
2016-12-31,$-5
2016-09-30,$17
2016-06-30,$-12
2016-03-31,$53
2015-12-31,$-676
2015-09-30,$-84
2015-06-30,$-20
2015-03-31,$24
2014-12-31,$-122
2014-09-30,$-73
2014-06-30,$-16
2014-03-31,$4
2013-12-31,$-840
2013-09-30,$25
2013-06-30,$-28
2013-03-31,$11
2012-12-31,$85
2012-09-30,$78
2012-06-30,$53
2012-03-31,$119
2011-12-31,$134
2011-09-30,$41
2011-06-30,$479
2011-03-31,$162
2010-12-31,$144
2010-09-30,$41
2010-06-30,$36
2010-03-31,$59
2009-12-31,$-47
2009-09-30,$65
2009-06-30,$44
2009-03-31,$53
