Equinix Quarterly Net Income (Millions of US $),Equinix Quarterly Net Income (Millions of US $).1
2024-06-30,$301
2024-03-31,$231
2023-12-31,$227
2023-09-30,$276
2023-06-30,$207
2023-03-31,$259
2022-12-31,$129
2022-09-30,$212
2022-06-30,$216
2022-03-31,$147
2021-12-31,$123
2021-09-30,$152
2021-06-30,$68
2021-03-31,$156
2020-12-31,$51
2020-09-30,$67
2020-06-30,$133
2020-03-31,$119
2019-12-31,$125
2019-09-30,$121
2019-06-30,$144
2019-03-31,$118
2018-12-31,$110
2018-09-30,$125
2018-06-30,$68
2018-03-31,$63
2017-12-31,$65
2017-09-30,$80
2017-06-30,$46
2017-03-31,$42
2016-12-31,$62
2016-09-30,$51
2016-06-30,$45
2016-03-31,$-31
2015-12-31,$11
2015-09-30,$41
2015-06-30,$59
2015-03-31,$76
2014-12-31,$-355
2014-09-30,$43
2014-06-30,$11
2014-03-31,$41
2013-12-31,$45
2013-09-30,$42
2013-06-30,$-26
2013-03-31,$33
2012-12-31,$42
2012-09-30,$27
2012-06-30,$36
2012-03-31,$35
2011-12-31,$19
2011-09-30,$20
2011-06-30,$31
2011-03-31,$25
2010-12-31,$14
2010-09-30,$11
2010-06-30,$-2
2010-03-31,$14
2009-12-31,$18
2009-09-30,$19
2009-06-30,$17
2009-03-31,$15
