Perrigo Quarterly Net Income (Millions of US $),Perrigo Quarterly Net Income (Millions of US $).1
2024-06-30,$-108
2024-03-31,$2
2023-12-31,$-32
2023-09-30,$14
2023-06-30,$8
2023-03-31,$-3
2022-12-31,$-24
2022-09-30,$-49
2022-06-30,$-65
2022-03-31,$-2
2021-12-31,$10
2021-09-30,$-59
2021-06-30,$-58
2021-03-31,$38
2020-12-31,$-175
2020-09-30,$-155
2020-06-30,$61
2020-03-31,$106
2019-12-31,$-19
2019-09-30,$92
2019-06-30,$9
2019-03-31,$64
2018-12-31,$82
2018-09-30,$-68
2018-06-30,$36
2018-03-31,$81
2017-12-31,$73
2017-09-30,$45
2017-06-30,$-70
2017-03-31,$72
2016-12-31,"$-1,359"
2016-09-30,"$-1,590"
2016-06-30,$-534
2016-03-31,$-529
2015-12-31,$-174
2015-09-30,$261
2015-06-30,$-22
2015-03-31,$-22
2014-12-31,$70
2014-09-30,$96
2014-06-30,
2014-03-31,$48
2013-12-31,$-86
2013-09-30,$111
2013-06-30,
2013-03-31,$112
2012-12-31,$106
2012-09-30,$106
2012-06-30,
2012-03-31,$116
2011-12-31,$100
2011-09-30,$70
2011-06-30,
2011-03-31,$89
2010-12-31,$90
2010-09-30,$74
2010-06-30,
2010-03-31,$62
2009-12-31,$61
2009-09-30,$52
2009-06-30,
2009-03-31,$46
