Scholar Rock Holding Quarterly Net Income (Millions of US $),Scholar Rock Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$-59
2024-03-31,$-57
2023-12-31,$-46
2023-09-30,$-42
2023-06-30,$-38
2023-03-31,$-39
2022-12-31,$-39
2022-09-30,$-43
2022-06-30,$-44
2022-03-31,$-8
2021-12-31,$-36
2021-09-30,$-38
2021-06-30,$-31
2021-03-31,$-28
2020-12-31,$-27
2020-09-30,$-24
2020-06-30,$-19
2020-03-31,$-17
2019-12-31,$-12
2019-09-30,$-16
2019-06-30,$-13
2019-03-31,$-11
2018-12-31,$-15
2018-09-30,$-11
2018-06-30,$-15
2018-03-31,$-9
2017-12-31,
2017-09-30,$-6
2017-06-30,$-6
2016-12-31,
