FirstService Quarterly Net Income (Millions of US $),FirstService Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$6
2023-12-31,$6
2023-09-30,$33
2023-06-30,$45
2023-03-31,$16
2022-12-31,$38
2022-09-30,$34
2022-06-30,$35
2022-03-31,$14
2021-12-31,$31
2021-09-30,$46
2021-06-30,$37
2021-03-31,$22
2020-12-31,$22
2020-09-30,$33
2020-06-30,$27
2020-03-31,$5
2019-12-31,$5
2019-09-30,$20
2019-06-30,$-279
2019-03-31,$2
2018-12-31,$11
2018-09-30,$26
2018-06-30,$23
2018-03-31,$6
2017-12-31,$14
2017-09-30,$15
2017-06-30,$18
2017-03-31,$4
2016-12-31,$7
2016-09-30,$16
2016-06-30,$13
2016-03-31,$-2
2015-12-31,$3
2015-09-30,$14
2015-06-30,$7
2015-03-31,$-3
2014-12-31,$-4
2014-09-30,$9
