Lions Gate Entertainment Quarterly Net Income (Millions of US $),Lions Gate Entertainment Quarterly Net Income (Millions of US $).1
2024-06-30,$-59
2024-03-31,$-51
2023-12-31,$-107
2023-09-30,$-886
2023-06-30,$-71
2023-03-31,$-97
2022-12-31,$17
2022-09-30,"$-1,811"
2022-06-30,$-119
2022-03-31,$-105
2021-12-31,$-46
2021-09-30,$8
2021-06-30,$-45
2021-03-31,$-38
2020-12-31,$-14
2020-09-30,$-18
2020-06-30,$51
2020-03-31,$-45
2019-12-31,$-91
2019-09-30,$2
2019-06-30,$-54
2019-03-31,$-155
2018-12-31,$23
2018-09-30,$-144
2018-06-30,$-8
2018-03-31,$91
2017-12-31,$193
2017-09-30,$16
2017-06-30,$174
2017-03-31,$62
2016-12-31,$-31
2016-09-30,$-18
2016-06-30,$1
2016-03-31,$11
2015-12-31,$41
2015-09-30,$-42
2015-06-30,$41
2015-03-31,$20
2014-12-31,$98
2014-09-30,$21
2014-06-30,$43
2014-03-31,$49
2013-12-31,$89
2013-09-30,$1
2013-06-30,$14
2013-03-31,$163
2012-12-31,$38
2012-09-30,$76
2012-06-30,$-44
2012-03-31,$-23
2011-12-31,$-1
2011-09-30,$-25
2011-06-30,$10
2011-03-31,$69
2010-12-31,$-6
2010-09-30,$-30
2010-06-30,$-64
2010-03-31,$-33
2009-12-31,$-65
2009-09-30,$32
2009-06-30,$36
2009-03-31,$-32
