Sabre Quarterly Net Income (Millions of US $),Sabre Quarterly Net Income (Millions of US $).1
2024-06-30,$-70
2024-03-31,$-71
2023-12-31,$-96
2023-09-30,$-212
2023-06-30,$-129
2023-03-31,$-104
2022-12-31,$-165
2022-09-30,$-141
2022-06-30,$-193
2022-03-31,$42
2021-12-31,$-192
2021-09-30,$-241
2021-06-30,$-251
2021-03-31,$-266
2020-12-31,$-325
2020-09-30,$-310
2020-06-30,$-443
2020-03-31,$-213
2019-12-31,$10
2019-09-30,$64
2019-06-30,$28
2019-03-31,$57
2018-12-31,$84
2018-09-30,$73
2018-06-30,$92
2018-03-31,$88
2017-12-31,$82
2017-09-30,$91
2017-06-30,$-6
2017-03-31,$76
2016-12-31,$25
2016-09-30,$41
2016-06-30,$72
2016-03-31,$105
2015-12-31,$129
2015-09-30,$176
2015-06-30,$32
2015-03-31,$207
2014-12-31,$46
2014-09-30,$37
2014-06-30,$-13
2014-03-31,$-12
2013-12-31,$27
2013-09-30,$-4
2013-06-30,$-126
2013-03-31,$-25
2012-12-31,
2011-12-31,
