Heico Quarterly Net Income (Millions of US $),Heico Quarterly Net Income (Millions of US $).1
2024-07-31,$137
2024-04-30,$123
2024-01-31,$115
2023-10-31,$103
2023-07-31,$102
2023-04-30,$105
2023-01-31,$93
2022-10-31,$97
2022-07-31,$83
2022-04-30,$85
2022-01-31,$87
2021-10-31,$86
2021-07-31,$77
2021-04-30,$71
2021-01-31,$71
2020-10-31,$62
2020-07-31,$54
2020-04-30,$75
2020-01-31,$122
2019-10-31,$86
2019-07-31,$81
2019-04-30,$82
2019-01-31,$79
2018-10-31,$67
2018-07-31,$67
2018-04-30,$60
2018-01-31,$65
2017-10-31,$54
2017-07-31,$46
2017-04-30,$46
2017-01-31,$41
2016-10-31,$44
2016-07-31,$42
2016-04-30,$39
2016-01-31,$31
2015-10-31,$38
2015-07-31,$34
2015-04-30,$33
2015-01-31,$28
2014-10-31,$32
2014-07-31,$33
2014-04-30,$28
2014-01-31,$27
2013-10-31,$30
2013-07-31,$29
2013-04-30,$24
2013-01-31,$20
2012-10-31,$24
2012-07-31,$23
2012-04-30,$19
2012-01-31,$19
2011-10-31,$19
2011-07-31,$20
2011-04-30,$17
2011-01-31,$17
2010-10-31,$16
2010-07-31,$15
2010-04-30,$13
2010-01-31,$12
2009-10-31,$12
2009-07-31,$11
2009-04-30,$11
2009-01-31,$11
