Acuity Brands Inc Quarterly Net Income (Millions of US $),Acuity Brands Inc Quarterly Net Income (Millions of US $).1
2024-05-31,$114
2024-02-29,$89
2023-11-30,$101
2023-08-31,$83
2023-05-31,$105
2023-02-28,$83
2022-11-30,$75
2022-08-31,$115
2022-05-31,$106
2022-02-28,$75
2021-11-30,$88
2021-08-31,$98
2021-05-31,$86
2021-02-28,$63
2020-11-30,$60
2020-08-31,$74
2020-05-31,$60
2020-02-29,$57
2019-11-30,$57
2019-08-31,$96
2019-05-31,$88
2019-02-28,$66
2018-11-30,$80
2018-08-31,$108
2018-05-31,$73
2018-02-28,$97
2017-11-30,$72
2017-08-31,$91
2017-05-31,$82
2017-02-28,$67
2016-11-30,$82
2016-08-31,$83
2016-05-31,$74
2016-02-29,$66
2015-11-30,$68
2015-08-31,$61
2015-05-31,$64
2015-02-28,$46
2014-11-30,$51
2014-08-31,$54
2014-05-31,$44
2014-02-28,$33
2013-11-30,$44
2013-08-31,$44
2013-05-31,$31
2013-02-28,$24
2012-11-30,$26
2012-08-31,$33
2012-05-31,$33
2012-02-29,$19
2011-11-30,$29
2011-08-31,$33
2011-05-31,$27
2011-02-28,$20
2010-11-30,$24
2010-08-31,$25
2010-05-31,$21
2010-02-28,$8
2009-11-30,$23
2009-08-31,$29
2009-05-31,$22
2009-02-28,$14
