Autohome Quarterly Net Income (Millions of US $),Autohome Quarterly Net Income (Millions of US $).1
2024-06-30,$70
2024-03-31,$53
2023-12-31,$63
2023-09-30,$77
2023-06-30,$68
2023-03-31,$57
2022-12-31,$81
2022-09-30,$70
2022-06-30,$63
2022-03-31,$49
2021-12-31,$45
2021-09-30,$79
2021-06-30,$116
2021-03-31,$97
2020-12-31,$198
2020-09-30,$125
2020-06-30,$117
2020-03-31,$83
2019-12-31,$156
2019-09-30,$90
2019-06-30,$117
2019-03-31,$96
2018-12-31,$137
2018-09-30,$99
2018-06-30,$105
2018-03-31,$77
2017-12-31,$120
2017-09-30,$64
2017-06-30,$76
2017-03-31,$48
2016-12-31,$48
2016-09-30,$39
2016-06-30,$52
2016-03-31,$38
2015-12-31,$45
2015-09-30,$36
2015-06-30,$49
2015-03-31,$27
2014-12-31,$40
2014-09-30,$28
2014-06-30,$33
2014-03-31,$20
2013-12-31,$20
2013-09-30,$22
2013-06-30,$20
2013-03-31,$12
2012-12-31,$7
