Comstock Resources Quarterly Net Income (Millions of US $),Comstock Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$-126
2024-03-31,$-16
2023-12-31,$108
2023-09-30,$15
2023-06-30,$-46
2023-03-31,$135
2022-12-31,$517
2022-09-30,$351
2022-06-30,$373
2022-03-31,$-116
2021-12-31,$356
2021-09-30,$-293
2021-06-30,$-184
2021-03-31,$-138
2020-12-31,$78
2020-09-30,$-131
2020-06-30,$-60
2020-03-31,$30
2019-12-31,$40
2019-09-30,$-1
2019-06-30,$21
2019-03-31,$14
2018-12-31,$50
2018-09-30,$-3
2018-06-30,$-34
2018-03-31,$-42
2017-12-31,$-42
2017-09-30,$-25
2017-06-30,$-21
2017-03-31,$-23
2016-12-31,$-55
2016-09-30,$-28
2016-06-30,$5
2016-03-31,$-57
2015-12-31,$-289
2015-09-30,$-545
2015-06-30,$-135
2015-03-31,$-79
2014-12-31,$-59
2014-09-30,$-2
2014-06-30,$2
2014-03-31,$1
2013-12-31,$-39
2013-09-30,$-24
2013-06-30,$130
2013-03-31,$-27
2012-12-31,$-78
2012-09-30,$-30
2012-06-30,$7
2012-03-31,$1
2011-12-31,$-41
2011-09-30,$1
2011-06-30,$4
2011-03-31,$2
2010-12-31,$-21
2010-09-30,$-5
2010-06-30,$-2
2010-03-31,$7
2009-12-31,$-7
2009-09-30,$-13
2009-06-30,$-11
2009-03-31,$-6
