Vir Biotechnology Quarterly Net Income (Millions of US $),Vir Biotechnology Quarterly Net Income (Millions of US $).1
2024-06-30,$-138
2024-03-31,$-65
2023-12-31,$-116
2023-09-30,$-163
2023-06-30,$-195
2023-03-31,$-141
2022-12-31,$-102
2022-09-30,$175
2022-06-30,$-76
2022-03-31,$519
2021-12-31,$525
2021-09-30,$110
2021-06-30,$62
2021-03-31,$-169
2020-12-31,$-106
2020-09-30,$-85
2020-06-30,$-31
2020-03-31,$-77
2019-12-31,$-64
2019-09-30,$-48
2019-06-30,$-34
2019-03-31,$-29
2018-12-31,
2018-09-30,$-33
2017-12-31,
