Popular Quarterly Net Income (Millions of US $),Popular Quarterly Net Income (Millions of US $).1
2024-06-30,$177
2024-03-31,$103
2023-12-31,$94
2023-09-30,$136
2023-06-30,$151
2023-03-31,$159
2022-12-31,$257
2022-09-30,$422
2022-06-30,$211
2022-03-31,$211
2021-12-31,$206
2021-09-30,$248
2021-06-30,$218
2021-03-31,$262
2020-12-31,$176
2020-09-30,$168
2020-06-30,$127
2020-03-31,$34
2019-12-31,$166
2019-09-30,$164
2019-06-30,$170
2019-03-31,$167
2018-12-31,$105
2018-09-30,$140
2018-06-30,$279
2018-03-31,$90
2017-12-31,$-103
2017-09-30,$20
2017-06-30,$95
2017-03-31,$92
2016-12-31,$-5
2016-09-30,$46
2016-06-30,$88
2016-03-31,$84
2015-12-31,$136
2015-09-30,$85
2015-06-30,$597
2015-03-31,$74
2014-12-31,$48
2014-09-30,$62
2014-06-30,$-512
2014-03-31,$85
2013-12-31,$162
2013-09-30,$228
2013-06-30,$327
2013-03-31,$-121
2012-12-31,$83
2012-09-30,$46
2012-06-30,$65
2012-03-31,$47
2011-12-31,$2
2011-09-30,$27
2011-06-30,$110
2011-03-31,$9
2010-12-31,$-419
2010-09-30,$494
2010-06-30,$-44
2010-03-31,$-85
2009-12-31,$-885
2009-09-30,$596
2009-06-30,$-208
2009-03-31,$-77
