Berry Global Quarterly Net Income (Millions of US $),Berry Global Quarterly Net Income (Millions of US $).1
2024-06-30,$193
2024-03-31,$116
2023-12-31,$59
2023-09-30,$186
2023-06-30,$143
2023-03-31,$174
2022-12-31,$106
2022-09-30,$233
2022-06-30,$207
2022-03-31,$205
2021-12-31,$121
2021-09-30,$228
2021-06-30,$194
2021-03-31,$181
2020-12-31,$130
2020-09-30,$195
2020-06-30,$191
2020-03-31,$126
2019-12-31,$47
2019-09-30,$229
2019-06-30,$13
2019-03-31,$74
2018-12-31,$88
2018-09-30,$133
2018-06-30,$110
2018-03-31,$90
2017-12-31,$163
2017-09-30,$110
2017-06-30,$107
2017-03-31,$72
2016-12-31,$51
2016-09-30,$77
2016-06-30,$96
2016-03-31,$59
2015-12-31,$4
2015-09-30,$48
2015-06-30,$-13
2015-03-31,$38
2014-12-31,$13
2014-09-30,$29
2014-06-30,$15
2014-03-31,$12
2013-12-31,$6
2013-09-30,$26
2013-06-30,$40
2013-03-31,$1
2012-12-31,$-10
2012-09-30,$23
2012-06-30,$9
2012-03-31,$2
2011-12-31,$-31
2011-09-30,
2010-09-30,
2009-09-30,
