Marathon Oil Quarterly Net Income (Millions of US $),Marathon Oil Quarterly Net Income (Millions of US $).1
2024-06-30,$349
2024-03-31,$297
2023-12-31,$397
2023-09-30,$453
2023-06-30,$287
2023-03-31,$417
2022-12-31,$525
2022-09-30,$817
2022-06-30,$966
2022-03-31,"$1,304"
2021-12-31,$649
2021-09-30,$184
2021-06-30,$16
2021-03-31,$97
2020-12-31,$-338
2020-09-30,$-317
2020-06-30,$-750
2020-03-31,$-46
2019-12-31,$-20
2019-09-30,$165
2019-06-30,$161
2019-03-31,$174
2018-12-31,$390
2018-09-30,$254
2018-06-30,$96
2018-03-31,$356
2017-12-31,$-28
2017-09-30,$-599
2017-06-30,$-139
2017-03-31,"$-4,957"
2016-12-31,"$-1,371"
2016-09-30,$-192
2016-06-30,$-170
2016-03-31,$-407
2015-12-31,$-793
2015-09-30,$-749
2015-06-30,$-386
2015-03-31,$-276
2014-12-31,$926
2014-09-30,$431
2014-06-30,$540
2014-03-31,"$1,149"
2013-12-31,$375
2013-09-30,$569
2013-06-30,$426
2013-03-31,$383
2012-12-31,$322
2012-09-30,$450
2012-06-30,$393
2012-03-31,$417
2011-12-31,$549
2011-09-30,$405
2011-06-30,$996
2011-03-31,$996
2010-12-31,$706
2010-09-30,$696
2010-06-30,$709
2010-03-31,$457
2009-12-31,$355
2009-09-30,$413
2009-06-30,$413
2009-03-31,$282
