Talos Energy Quarterly Net Income (Millions of US $),Talos Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$12
2024-03-31,$-112
2023-12-31,$86
2023-09-30,$-2
2023-06-30,$14
2023-03-31,$90
2022-12-31,$3
2022-09-30,$250
2022-06-30,$195
2022-03-31,$-66
2021-12-31,$81
2021-09-30,$-17
2021-06-30,$-126
2021-03-31,$-121
2020-12-31,$-431
2020-09-30,$-52
2020-06-30,$-141
2020-03-31,$158
2019-12-31,$0
2019-09-30,$73
2019-06-30,$95
2019-03-31,$-110
2018-12-31,$306
2018-09-30,$13
2018-06-30,$-75
2018-03-31,$-23
2017-12-31,$-417
2017-09-30,$-36
2017-06-30,$25
2017-03-31,$366
2016-12-31,$266
2016-09-30,$-90
2016-06-30,$-196
2016-03-31,$-189
2015-12-31,$-319
2015-09-30,$-292
2015-06-30,$-153
2015-03-31,$-327
2014-12-31,$-190
2014-09-30,$-29
2014-06-30,$4
2014-03-31,$25
2013-12-31,$2
2013-09-30,$35
2013-06-30,$38
2013-03-31,$40
2012-12-31,$43
2012-09-30,$23
2012-06-30,$30
2012-03-31,$50
2011-12-31,$45
2011-09-30,$51
2011-06-30,$56
2011-03-31,$39
2010-12-31,$23
2010-09-30,$19
2010-06-30,$27
2010-03-31,$25
2009-12-31,$-69
2009-09-30,$50
2009-06-30,$27
2009-03-31,$-226
