Sixth Street Specialty Lending Quarterly Net Income (Millions of US $),Sixth Street Specialty Lending Quarterly Net Income (Millions of US $).1
2024-06-30,$47
2024-03-31,$48
2023-12-31,$51
2023-09-30,$65
2023-06-30,$53
2023-03-31,$53
2022-12-31,$46
2022-09-30,$34
2022-06-30,$-14
2022-03-31,$41
2021-12-31,$42
2021-09-30,$55
2021-06-30,$58
2021-03-31,$57
2020-12-31,$53
2020-09-30,$82
2020-06-30,$96
2020-03-31,$-53
2019-12-31,$38
2019-09-30,$30
2019-06-30,$48
2019-03-31,$39
2018-12-31,$14
2018-09-30,$37
2018-06-30,$34
2018-03-31,$34
2017-12-31,$27
2017-09-30,$25
2017-06-30,$32
2017-03-31,$28
2016-12-31,$33
2016-09-30,$37
2016-06-30,$50
2016-03-31,$18
2015-12-31,$-4
2015-09-30,$9
2015-06-30,$34
2015-03-31,$24
2014-12-31,$14
2014-09-30,$19
2014-06-30,$27
2014-03-31,$25
2013-12-31,$21
2013-09-30,$16
2013-06-30,$14
2013-03-31,$15
2012-12-31,$12
2012-09-30,$14
2012-06-30,$8
2012-03-31,$6
2011-12-31,$2
2011-09-30,$1
2011-06-30,$-1
2011-03-31,$-2
2010-12-31,
