Crane NXT Quarterly Net Income (Millions of US $),Crane NXT Quarterly Net Income (Millions of US $).1
2024-06-30,$42
2024-03-31,$38
2023-12-31,$50
2023-09-30,$52
2023-06-30,$43
2023-03-31,$44
2022-12-31,$7
2022-09-30,$45
2022-06-30,$49
2022-03-31,$105
2021-12-31,$-185
2021-09-30,$117
2021-06-30,$138
2021-03-31,$108
2020-12-31,$47
2020-09-30,$57
2020-06-30,$15
2020-03-31,$63
2019-12-31,$-113
2019-09-30,$73
2019-06-30,$91
2019-03-31,$82
2018-12-31,$89
2018-09-30,$97
2018-06-30,$81
2018-03-31,$69
2017-12-31,$-29
2017-09-30,$68
2017-06-30,$69
2017-03-31,$63
2016-12-31,$-64
2016-09-30,$64
2016-06-30,$68
2016-03-31,$55
2015-12-31,$65
2015-09-30,$57
2015-06-30,$56
2015-03-31,$51
2014-12-31,$56
2014-09-30,$28
2014-06-30,$60
2014-03-31,$49
2013-12-31,$50
2013-09-30,$57
2013-06-30,$55
2013-03-31,$58
2012-12-31,$46
2012-09-30,$57
2012-06-30,$63
2012-03-31,$52
2011-12-31,$-125
2011-09-30,$53
2011-06-30,$50
2011-03-31,$48
2010-12-31,$39
2010-09-30,$42
2010-06-30,$40
2010-03-31,$33
2009-12-31,$48
2009-09-30,$35
2009-06-30,$28
2009-03-31,$23
