Whirlpool Quarterly Net Income (Millions of US $),Whirlpool Quarterly Net Income (Millions of US $).1
2024-06-30,$219
2024-03-31,$-259
2023-12-31,$492
2023-09-30,$83
2023-06-30,$85
2023-03-31,$-179
2022-12-31,"$-1,604"
2022-09-30,$143
2022-06-30,$-371
2022-03-31,$313
2021-12-31,$298
2021-09-30,$471
2021-06-30,$581
2021-03-31,$433
2020-12-31,$499
2020-09-30,$392
2020-06-30,$30
2020-03-31,$154
2019-12-31,$272
2019-09-30,$358
2019-06-30,$67
2019-03-31,$471
2018-12-31,$170
2018-09-30,$210
2018-06-30,$-657
2018-03-31,$94
2017-12-31,$-268
2017-09-30,$276
2017-06-30,$189
2017-03-31,$153
2016-12-31,$180
2016-09-30,$238
2016-06-30,$320
2016-03-31,$150
2015-12-31,$180
2015-09-30,$235
2015-06-30,$177
2015-03-31,$191
2014-12-31,$81
2014-09-30,$230
2014-06-30,$179
2014-03-31,$160
2013-12-31,$181
2013-09-30,$196
2013-06-30,$198
2013-03-31,$252
2012-12-31,$122
2012-09-30,$74
2012-06-30,$113
2012-03-31,$92
2011-12-31,$205
2011-09-30,$177
2011-06-30,$-161
2011-03-31,$169
2010-12-31,$171
2010-09-30,$79
2010-06-30,$205
2010-03-31,$164
2009-12-31,$95
2009-09-30,$87
2009-06-30,$78
2009-03-31,$68
