Coherent Quarterly Net Income (Millions of US $),Coherent Quarterly Net Income (Millions of US $).1
2024-06-30,$-80
2024-03-31,$-44
2023-12-31,$-58
2023-09-30,$-98
2023-06-30,$-215
2023-03-31,$-34
2022-12-31,$-81
2022-09-30,$-74
2022-06-30,$26
2022-03-31,$32
2021-12-31,$51
2021-09-30,$57
2021-06-30,$65
2021-03-31,$74
2020-12-31,$81
2020-09-30,$40
2020-06-30,$51
2020-03-31,$6
2019-12-31,$-98
2019-09-30,$-26
2019-06-30,$28
2019-03-31,$25
2018-12-31,$29
2018-09-30,$26
2018-06-30,$27
2018-03-31,$30
2017-12-31,$10
2017-09-30,$21
2017-06-30,$33
2017-03-31,$22
2016-12-31,$24
2016-09-30,$16
2016-06-30,$14
2016-03-31,$15
2015-12-31,$19
2015-09-30,$17
2015-06-30,$17
2015-03-31,$15
2014-12-31,$22
2014-09-30,$12
2014-06-30,$13
2014-03-31,$9
2013-12-31,$8
2013-09-30,$10
2013-06-30,$10
2013-03-31,$16
2012-12-31,$12
2012-09-30,$13
2012-06-30,$14
2012-03-31,$14
2011-12-31,$13
2011-09-30,$19
2011-06-30,$22
2011-03-31,$23
2010-12-31,$19
2010-09-30,$18
2010-06-30,$16
2010-03-31,$10
2009-12-31,$6
2009-09-30,$6
2009-06-30,$6
2009-03-31,$5
