InterDigital Quarterly Net Income (Millions of US $),InterDigital Quarterly Net Income (Millions of US $).1
2024-06-30,$110
2024-03-31,$82
2023-12-31,$39
2023-09-30,$48
2023-06-30,$22
2023-03-31,$105
2022-12-31,$32
2022-09-30,$22
2022-06-30,$21
2022-03-31,$18
2021-12-31,$22
2021-09-30,$26
2021-06-30,$2
2021-03-31,$6
2020-12-31,$-1
2020-09-30,$24
2020-06-30,$22
2020-03-31,$0
2019-12-31,$14
2019-09-30,$2
2019-06-30,$8
2019-03-31,$-3
2018-12-31,$2
2018-09-30,$22
2018-06-30,$11
2018-03-31,$30
2017-12-31,$54
2017-09-30,$36
2017-06-30,$52
2017-03-31,$34
2016-12-31,$136
2016-09-30,$104
2016-06-30,$40
2016-03-31,$28
2015-12-31,$33
2015-09-30,$25
2015-06-30,$33
2015-03-31,$29
2014-12-31,$14
2014-09-30,$14
2014-06-30,$79
2014-03-31,$-2
2013-12-31,$15
2013-09-30,$27
2013-06-30,$9
2013-03-31,$-12
2012-12-31,$16
2012-09-30,$236
2012-06-30,$10
2012-03-31,$11
2011-12-31,$23
2011-09-30,$26
2011-06-30,$17
2011-03-31,$23
2010-12-31,$34
2010-09-30,$36
2010-06-30,$35
2010-03-31,$49
2009-12-31,$39
2009-09-30,$31
2009-06-30,$26
2009-03-31,$-9
