NNN REIT Quarterly Net Income (Millions of US $),NNN REIT Quarterly Net Income (Millions of US $).1
2024-06-30,$107
2024-03-31,$94
2023-12-31,$97
2023-09-30,$107
2023-06-30,$99
2023-03-31,$90
2022-12-31,$91
2022-09-30,$88
2022-06-30,$74
2022-03-31,$81
2021-12-31,$65
2021-09-30,$78
2021-06-30,$69
2021-03-31,$52
2020-12-31,$57
2020-09-30,$52
2020-06-30,$42
2020-03-31,$61
2019-12-31,$59
2019-09-30,$58
2019-06-30,$70
2019-03-31,$71
2018-12-31,$28
2018-09-30,$73
2018-06-30,$62
2018-03-31,$95
2017-12-31,$64
2017-09-30,$53
2017-06-30,$49
2017-03-31,$52
2016-12-31,$54
2016-09-30,$42
2016-06-30,$43
2016-03-31,$62
2015-12-31,$34
2015-09-30,$46
2015-06-30,$37
2015-03-31,$45
2014-12-31,$45
2014-09-30,$39
2014-06-30,$37
2014-03-31,$34
2013-12-31,$35
2013-09-30,$35
2013-06-30,$33
2013-03-31,$29
2012-12-31,$36
2012-09-30,$33
2012-06-30,$28
2012-03-31,$25
2011-12-31,$26
2011-09-30,$21
2011-06-30,$20
2011-03-31,$19
2010-12-31,$12
2010-09-30,$20
2010-06-30,$20
2010-03-31,$15
2009-12-31,$-7
2009-09-30,$21
2009-06-30,$16
2009-03-31,$25
