Banco Santander Brasil SA Quarterly Net Income (Millions of US $),Banco Santander Brasil SA Quarterly Net Income (Millions of US $).1
2024-06-30,$693
2024-03-31,$616
2023-09-30,$567
2023-06-30,$322
2022-09-30,$659
2022-06-30,
2022-03-31,$727
2021-12-31,$642
2021-09-30,$738
2021-06-30,$755
2021-03-31,$742
2020-12-31,"$1,006"
2020-09-30,$343
2020-06-30,$383
2020-03-31,$871
2019-12-31,"$1,876"
2019-09-30,$479
2019-06-30,$877
2019-03-31,$926
2018-12-31,$962
2018-09-30,$809
2018-06-30,$800
2018-03-31,$871
2017-12-31,"$1,067"
2017-09-30,$735
2017-06-30,$689
2017-03-31,$303
2016-12-31,"$1,290"
2016-09-30,$338
2016-06-30,$250
2016-03-31,$225
2015-12-31,"$1,694"
2015-09-30,$234
2015-06-30,$783
2015-03-31,$276
2014-12-31,$-6
2014-09-30,$267
2014-06-30,$316
2014-03-31,$591
2013-12-31,$626
2013-09-30,$584
2013-06-30,$690
2013-03-31,$400
2012-12-31,$399
2012-09-30,$723
2012-06-30,$746
2012-03-31,$913
2011-12-31,"$1,001"
2011-09-30,"$1,111"
2011-06-30,"$1,307"
2011-03-31,"$1,240"
2010-12-31,"$1,095"
2010-09-30,"$1,110"
2010-06-30,$992
2010-03-31,$983
2009-12-31,$917
2009-09-30,$791
