Simply Good Foods Quarterly Net Income (Millions of US $),Simply Good Foods Quarterly Net Income (Millions of US $).1
2024-05-31,$41
2024-02-29,$33
2023-11-30,$36
2023-08-31,$37
2023-05-31,$35
2023-02-28,$26
2022-11-30,$36
2022-08-31,$30
2022-05-31,$39
2022-02-28,$18
2021-11-30,$21
2021-08-31,$18
2021-05-31,$6
2021-02-28,$-26
2020-11-30,$43
2020-08-31,$-39
2020-05-31,$48
2020-02-29,$48
2019-11-30,$9
2019-08-31,$-67
2019-05-31,$13
2019-02-28,$13
2018-11-30,$15
2018-08-31,$-21
2018-05-31,$7
2018-02-28,$41
2017-11-30,$10
2017-08-31,$-17
2017-05-31,$4
2017-02-28,$3
2016-11-30,$7
2016-08-31,
2016-05-31,$1
2015-02-28,
2014-11-30,
2014-08-31,
