ATI Quarterly Net Income (Millions of US $),ATI Quarterly Net Income (Millions of US $).1
2024-06-30,$82
2024-03-31,$66
2023-12-31,$160
2023-09-30,$76
2023-06-30,$90
2023-03-31,$85
2022-12-31,$270
2022-09-30,$61
2022-06-30,$-38
2022-03-31,$31
2021-12-31,$193
2021-09-30,$49
2021-06-30,$-49
2021-03-31,$-8
2020-12-31,"$-1,121"
2020-09-30,$-50
2020-06-30,$-423
2020-03-31,$21
2019-12-31,$51
2019-09-30,$111
2019-06-30,$75
2019-03-31,$15
2018-12-31,$41
2018-09-30,$51
2018-06-30,$73
2018-03-31,$58
2017-12-31,$2
2017-09-30,$-121
2017-06-30,$10
2017-03-31,$18
2016-12-31,$10
2016-09-30,$-531
2016-06-30,$-19
2016-03-31,$-101
2015-12-31,$-227
2015-09-30,$-145
2015-06-30,$-16
2015-03-31,$10
2014-12-31,$22
2014-09-30,$-1
2014-06-30,$-4
2014-03-31,$-20
2013-12-31,$173
2013-09-30,$-34
2013-06-30,$4
2013-03-31,$10
2012-12-31,$11
2012-09-30,$35
2012-06-30,$56
2012-03-31,$56
2011-12-31,$32
2011-09-30,$62
2011-06-30,$64
2011-03-31,$56
2010-12-31,$15
2010-09-30,$1
2010-06-30,$36
2010-03-31,$18
2009-12-31,$38
2009-09-30,$1
2009-06-30,$-13
2009-03-31,$6
