Macerich Quarterly Net Income (Millions of US $),Macerich Quarterly Net Income (Millions of US $).1
2024-06-30,$252
2024-03-31,$-127
2023-12-31,$62
2023-09-30,$-263
2023-06-30,$-15
2023-03-31,$-59
2022-12-31,$2
2022-09-30,$-15
2022-06-30,$-15
2022-03-31,$-37
2021-12-31,$-17
2021-09-30,$107
2021-06-30,$-12
2021-03-31,$-64
2020-12-31,$-190
2020-09-30,$-22
2020-06-30,$-25
2020-03-31,$8
2019-12-31,$27
2019-09-30,$46
2019-06-30,$16
2019-03-31,$8
2018-12-31,$11
2018-09-30,$74
2018-06-30,$8
2018-03-31,$-34
2017-12-31,$33
2017-09-30,$17
2017-06-30,$27
2017-03-31,$69
2016-12-31,$37
2016-09-30,$14
2016-06-30,$45
2016-03-31,$421
2015-12-31,$415
2015-09-30,$34
2015-06-30,$14
2015-03-31,$24
2014-12-31,"$1,429"
2014-09-30,$36
2014-06-30,$16
2014-03-31,$18
2013-12-31,$145
2013-09-30,$38
2013-06-30,$219
2013-03-31,$18
2012-12-31,$174
2012-09-30,$44
2012-06-30,$133
2012-03-31,$-14
2011-12-31,$163
2011-09-30,$13
2011-06-30,$-19
2011-03-31,$0
2010-12-31,$24
2010-09-30,$8
2010-06-30,$-0
2010-03-31,$-6
2009-12-31,$-14
2009-09-30,$143
2009-06-30,$-22
2009-03-31,$14
