Tapestry Quarterly Net Income (Millions of US $),Tapestry Quarterly Net Income (Millions of US $).1
2024-06-30,$159
2024-03-31,$139
2023-12-31,$322
2023-09-30,$195
2023-06-30,$224
2023-03-31,$187
2022-12-31,$330
2022-09-30,$195
2022-06-30,$189
2022-03-31,$123
2021-12-31,$318
2021-09-30,$227
2021-06-30,$200
2021-03-31,$92
2020-12-31,$311
2020-09-30,$232
2020-06-30,$-294
2020-03-31,$-677
2019-12-31,$299
2019-09-30,$20
2019-06-30,$149
2019-03-31,$117
2018-12-31,$255
2018-09-30,$122
2018-06-30,$212
2018-03-31,$140
2017-12-31,$63
2017-09-30,$-18
2017-06-30,$152
2017-03-31,$122
2016-12-31,$200
2016-09-30,$117
2016-06-30,$82
2016-03-31,$113
2015-12-31,$170
2015-09-30,$96
2015-06-30,$12
2015-03-31,$88
2014-12-31,$184
2014-09-30,$119
2014-06-30,$75
2014-03-31,$191
2013-12-31,$297
2013-09-30,$218
2013-06-30,$221
2013-03-31,$239
2012-12-31,$353
2012-09-30,$221
2012-06-30,$251
2012-03-31,$225
2011-12-31,$347
2011-09-30,$215
2011-06-30,$202
2011-03-31,$186
2010-12-31,$303
2010-09-30,$189
2010-06-30,$196
2010-03-31,$158
2009-12-31,$241
2009-09-30,$141
2009-06-30,$146
2009-03-31,$115
