MillerKnoll Quarterly Net Income (Millions of US $),MillerKnoll Quarterly Net Income (Millions of US $).1
2024-08-31,$-1
2024-05-31,$10
2024-02-29,$22
2023-11-30,$34
2023-08-31,$17
2023-05-31,$-0
2023-02-28,$0
2022-11-30,$16
2022-08-31,$26
2022-05-31,$22
2022-02-28,$14
2021-11-30,$-2
2021-08-31,$-61
2021-05-31,$9
2021-02-28,$42
2020-11-30,$51
2020-08-31,$73
2020-05-31,$-173
2020-02-29,$38
2019-11-30,$79
2019-08-31,$48
2019-05-31,$46
2019-02-28,$39
2018-11-30,$39
2018-08-31,$36
2018-05-31,$32
2018-02-28,$30
2017-11-30,$34
2017-08-31,$33
2017-05-31,$33
2017-02-28,$23
2016-11-30,$32
2016-08-31,$36
2016-05-31,$41
2016-02-29,$28
2015-11-30,$35
2015-08-31,$34
2015-05-31,$24
2015-02-28,$21
2014-11-30,$28
2014-08-31,$25
2014-05-31,$17
2014-02-28,$19
2013-11-30,$-81
2013-08-31,$23
2013-05-31,$23
2013-02-28,$17
2012-11-30,$8
2012-08-31,$20
2012-05-31,$12
2012-02-29,$15
2011-11-30,$24
2011-08-31,$25
2011-05-31,$17
2011-02-28,$20
2010-11-30,$18
2010-08-31,$16
2010-05-31,$2
2010-02-28,$8
2009-11-30,$10
2009-08-31,$8
2009-05-31,$7
2009-02-28,$-5
