Premier Quarterly Net Income (Millions of US $),Premier Quarterly Net Income (Millions of US $).1
2024-06-30,$61
2024-03-31,$-40
2023-12-31,$54
2023-09-30,$45
2023-06-30,$21
2023-03-31,$47
2022-12-31,$64
2022-09-30,$43
2022-06-30,$30
2022-03-31,$38
2021-12-31,$76
2021-09-30,$122
2021-06-30,$50
2021-03-31,$48
2020-12-31,$44
2020-09-30,$119
2020-06-30,$-22
2020-03-31,$341
2019-12-31,$-444
2019-09-30,$724
2019-06-30,$-287
2019-03-31,$266
2018-12-31,$694
2018-09-30,$-681
2018-06-30,$-323
2018-03-31,$-104
2017-12-31,$281
2017-09-30,$336
2017-06-30,$-314
2017-03-31,$-81
2016-12-31,$400
2016-09-30,$70
2016-06-30,$102
2016-03-31,$300
2015-12-31,$-54
2015-09-30,$471
2015-06-30,$-84
2015-03-31,$-375
2014-12-31,$-33
2014-09-30,$-373
2014-06-30,$491
2014-03-31,$509
2013-12-31,"$-3,713"
2013-09-30,$-0
2013-06-30,$-1
2013-03-31,$4
2012-12-31,$2
2012-09-30,$2
2012-06-30,
2011-06-30,
