GFL Environmental Quarterly Net Income (Millions of US $),GFL Environmental Quarterly Net Income (Millions of US $).1
2024-06-30,$-361
2024-03-31,$-146
2023-12-31,$-75
2023-09-30,$-0
2023-06-30,$203
2023-03-31,$-162
2022-12-31,$-171
2022-09-30,$-141
2022-06-30,$50
2022-03-31,$22
2021-12-31,$-131
2021-09-30,$-195
2021-06-30,$21
2021-03-31,$-179
2020-12-31,$-366
2020-09-30,$-86
2020-06-30,$-83
2020-03-31,$-207
2019-06-30,$-68
