Planet Fitness Quarterly Net Income (Millions of US $),Planet Fitness Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$34
2023-12-31,$35
2023-09-30,$39
2023-06-30,$41
2023-03-31,$23
2022-12-31,$34
2022-09-30,$27
2022-06-30,$22
2022-03-31,$16
2021-12-31,$6
2021-09-30,$17
2021-06-30,$14
2021-03-31,$6
2020-12-31,$9
2020-09-30,$-3
2020-06-30,$-29
2020-03-31,$9
2019-12-31,$30
2019-09-30,$26
2019-06-30,$35
2019-03-31,$27
2018-12-31,$25
2018-09-30,$17
2018-06-30,$26
2018-03-31,$20
2017-12-31,$-3
2017-09-30,$15
2017-06-30,$12
2017-03-31,$9
2016-12-31,$11
2016-09-30,$3
2016-06-30,$4
2016-03-31,$3
2015-12-31,$2
2015-09-30,$-4
2015-06-30,$12
2015-03-31,$8
2014-12-31,
2014-09-30,$8
2014-06-30,$9
2013-12-31,
