HSBC Quarterly Net Income (Millions of US $),HSBC Quarterly Net Income (Millions of US $).1
2024-06-30,
2024-03-31,"$10,183"
2023-12-31,
2023-09-30,"$5,619"
2023-03-31,"$10,327"
2022-09-30,"$2,002"
2022-03-31,"$2,755"
2021-09-30,"$3,543"
2021-03-31,"$3,880"
2020-09-30,"$1,359"
2020-03-31,"$1,785"
2019-09-30,"$2,971"
2019-03-31,"$4,134"
2018-09-30,"$3,899"
2018-03-31,"$3,086"
2017-09-30,"$2,958"
2017-03-31,"$3,130"
2016-12-31,"$-4,583"
2016-09-30,$-617
2016-06-30,"$2,611"
2016-03-31,"$3,888"
2015-12-31,"$-1,325"
2015-09-30,"$5,229"
2015-06-30,"$4,359"
2015-03-31,"$5,259"
2014-12-31,$-62
2014-09-30,"$3,431"
2014-06-30,"$4,535"
2014-03-31,"$5,211"
2013-12-31,"$2,720"
2013-09-30,"$3,200"
2013-06-30,"$3,931"
2013-03-31,"$6,353"
2012-12-31,"$3,091"
2012-09-30,"$2,498"
2012-06-30,"$5,857"
2012-03-31,"$2,581"
2011-12-31,"$1,787"
2011-09-30,"$5,222"
2011-06-30,"$5,062"
2011-03-31,"$4,153"
2010-12-31,"$2,829"
2010-09-30,"$3,154"
2010-06-30,"$4,132"
2010-03-31,"$2,631"
2009-06-30,
