United Microelectronics Quarterly Net Income (Millions of US $),United Microelectronics Quarterly Net Income (Millions of US $).1
2024-06-30,$426
2024-03-31,$333
2023-12-31,$402
2023-09-30,$505
2023-06-30,$510
2023-03-31,$532
2022-12-31,$591
2022-09-30,$888
2022-06-30,$725
2022-03-31,$707
2021-12-31,$422
2021-09-30,$627
2021-06-30,$428
2021-03-31,$371
2020-12-31,$207
2020-09-30,$311
2020-06-30,$224
2020-03-31,$73
2019-12-31,$84
2019-09-30,$94
2019-06-30,$56
2019-03-31,$39
2018-12-31,$5
2018-09-30,$6
2018-06-30,$123
2018-03-31,$116
2017-09-30,$115
2017-06-30,$69
2017-03-31,$75
2016-12-31,$86
2016-09-30,$94
2016-06-30,$80
2016-03-31,$6
2015-12-31,$96
2015-09-30,$52
2015-06-30,$149
2015-03-31,$127
2014-12-31,$144
2014-09-30,$85
2014-06-30,$117
2014-03-31,$39
2013-12-31,$25
2013-09-30,$117
2013-06-30,$60
2013-03-31,$221
2012-12-31,$40
2012-09-30,$82
2012-06-30,$100
2012-03-31,$45
2011-12-31,$39
2011-09-30,$64
2011-06-30,$111
2011-03-31,$152
2010-12-31,$221
2010-09-30,$279
2010-06-30,$164
2010-03-31,$110
2009-12-31,$137
2009-09-30,$190
2009-06-30,$47
2009-03-31,$-240
