Fulton Financial Quarterly Net Income (Millions of US $),Fulton Financial Quarterly Net Income (Millions of US $).1
2024-09-30,$61
2024-06-30,$92
2024-03-31,$59
2023-12-31,$62
2023-09-30,$70
2023-06-30,$77
2023-03-31,$66
2022-12-31,$79
2022-09-30,$68
2022-06-30,$67
2022-03-31,$62
2021-12-31,$59
2021-09-30,$73
2021-06-30,$62
2021-03-31,$70
2020-12-31,$49
2020-09-30,$62
2020-06-30,$40
2020-03-31,$26
2019-12-31,$48
2019-09-30,$62
2019-06-30,$60
2019-03-31,$57
2018-12-31,$58
2018-09-30,$66
2018-06-30,$35
2018-03-31,$49
2017-12-31,$34
2017-09-30,$49
2017-06-30,$45
2017-03-31,$43
2016-12-31,$42
2016-09-30,$41
2016-06-30,$40
2016-03-31,$38
2015-12-31,$39
2015-09-30,$34
2015-06-30,$37
2015-03-31,$40
2014-12-31,$38
2014-09-30,$39
2014-06-30,$40
2014-03-31,$42
2013-12-31,$42
2013-09-30,$40
2013-06-30,$41
2013-03-31,$39
2012-12-31,$40
2012-09-30,$42
2012-06-30,$40
2012-03-31,$38
2011-12-31,$36
2011-09-30,$39
2011-06-30,$36
2011-03-31,$34
2010-12-31,$31
2010-09-30,$32
2010-06-30,$27
2010-03-31,$22
2009-12-31,$19
2009-09-30,$18
2009-06-30,$8
2009-03-31,$8
