CRISPR Therapeutics AG Quarterly Net Income (Millions of US $),CRISPR Therapeutics AG Quarterly Net Income (Millions of US $).1
2024-06-30,$-126
2024-03-31,$-117
2023-12-31,$89
2023-09-30,$-112
2023-06-30,$-78
2023-03-31,$-53
2022-12-31,$-111
2022-09-30,$-175
2022-06-30,$-186
2022-03-31,$-179
2021-12-31,$-141
2021-09-30,$-127
2021-06-30,$759
2021-03-31,$-113
2020-12-31,$-107
2020-09-30,$-92
2020-06-30,$-80
2020-03-31,$-70
2019-12-31,$31
2019-09-30,$138
2019-06-30,$-54
2019-03-31,$-48
2018-12-31,$-48
2018-09-30,$-51
2018-06-30,$-38
2018-03-31,$-28
2017-12-31,$0
2017-09-30,$-25
2017-06-30,$-22
2017-03-31,$-21
2016-12-31,$17
2016-09-30,$-15
2016-06-30,
2016-03-31,$-8
2015-12-31,
2015-09-30,$-6
2014-12-31,
