Sumitomo Mitsui Financial Group Inc Quarterly Net Income (Millions of US $),Sumitomo Mitsui Financial Group Inc Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,377"
2023-12-31,
2023-06-30,"$1,811"
2022-06-30,"$1,944"
2021-06-30,"$1,850"
2020-06-30,$801
2019-06-30,"$1,963"
2018-06-30,"$2,089"
2017-06-30,"$2,174"
2016-06-30,"$1,714"
2015-06-30,"$2,197"
2015-03-31,$595
2014-12-31,"$1,717"
2014-09-30,"$2,154"
2014-06-30,"$2,262"
2014-03-31,"$1,307"
2013-12-31,"$1,947"
2013-09-30,"$2,182"
2013-06-30,"$2,947"
2013-03-31,"$2,948"
2012-12-31,"$2,409"
2012-09-30,"$2,708"
2012-06-30,"$1,507"
2012-03-31,"$1,345"
2011-12-31,"$1,953"
2011-09-30,"$1,378"
2011-06-30,"$2,479"
2011-03-31,$-459
2010-12-31,
2010-09-30,"$2,396"
2010-06-30,"$2,309"
2010-03-31,$337
2009-12-31,"$1,380"
2009-09-30,$543
2009-06-30,$728
2009-03-31,"$-4,292"
