NewJersey Resources Quarterly Net Income (Millions of US $),NewJersey Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$-12
2024-03-31,$121
2023-12-31,$89
2023-09-30,$37
2023-06-30,$2
2023-03-31,$110
2022-12-31,$116
2022-09-30,$55
2022-06-30,$13
2022-03-31,$96
2021-12-31,$111
2021-09-30,$-1
2021-06-30,$-112
2021-03-31,$150
2020-12-31,$81
2020-09-30,$33
2020-06-30,$-19
2020-03-31,$74
2019-12-31,$76
2019-09-30,$-27
2019-06-30,$-8
2019-03-31,$74
2018-12-31,$86
2018-09-30,$-16
2018-06-30,$-14
2018-03-31,$140
2017-12-31,$124
2017-09-30,$-37
2017-06-30,$19
2017-03-31,$115
2016-12-31,$35
2016-09-30,$25
2016-06-30,$-17
2016-03-31,$73
2015-12-31,$50
2015-09-30,$4
2015-06-30,$-7
2015-03-31,$61
2014-12-31,$123
2014-09-30,$-24
2014-06-30,$-14
2014-03-31,$173
2013-12-31,$8
2013-09-30,$-20
2013-06-30,$29
2013-03-31,$45
2012-12-31,$60
2012-09-30,$-9
2012-06-30,$-10
2012-03-31,$55
2011-12-31,$57
2011-09-30,$-8
2011-06-30,$20
2011-03-31,$64
2010-12-31,$25
2010-09-30,$2
2010-06-30,$-10
2010-03-31,$74
2009-12-31,$52
2009-09-30,$-19
2009-06-30,$-14
2009-03-31,$32
