BanColombia S.A Quarterly Net Income (Millions of US $),BanColombia S.A Quarterly Net Income (Millions of US $).1
2024-06-30,$432
2024-03-31,$267
2023-12-31,$-279
2023-09-30,$298
2023-06-30,$292
2023-03-31,$343
2022-12-31,$-654
2022-09-30,$326
2022-06-30,$534
2022-03-31,$520
2021-12-31,$-134
2021-09-30,$283
2021-06-30,$347
2021-03-31,$163
2020-12-31,$-110
2020-09-30,$84
2020-06-30,$-22
2020-03-31,$101
2019-12-31,$-290
2019-09-30,$264
2019-06-30,$281
2019-03-31,$250
2018-12-31,$-176
2018-09-30,$163
2018-06-30,$237
2018-03-31,$209
2017-12-31,$271
2017-09-30,$135
2017-06-30,$196
2017-03-31,$183
2016-12-31,$-55
2016-09-30,$181
2016-06-30,$220
2016-03-31,$119
2015-12-31,$197
2015-09-30,$187
2015-06-30,$278
2015-03-31,$250
2014-12-31,$205
2014-09-30,$197
2014-06-30,$247
2014-03-31,$264
2013-12-31,$264
2013-09-30,$169
2013-06-30,$111
2013-03-31,$270
2012-12-31,$257
2012-09-30,$239
2012-06-30,$199
2012-03-31,$253
2011-12-31,$283
2011-09-30,$223
2011-06-30,$217
2011-03-31,$265
2010-12-31,$227
2010-09-30,$203
2010-06-30,$151
2010-03-31,$156
2009-12-31,$189
2009-09-30,$161
2009-06-30,$124
2009-03-31,$122
