Tootsie Roll Industries Quarterly Net Income (Millions of US $),Tootsie Roll Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$16
2024-03-31,$16
2023-12-31,$29
2023-09-30,$34
2023-06-30,$15
2023-03-31,$13
2022-12-31,$25
2022-09-30,$27
2022-06-30,$12
2022-03-31,$12
2021-12-31,$20
2021-09-30,$25
2021-06-30,$10
2021-03-31,$11
2020-12-31,$15
2020-09-30,$25
2020-06-30,$7
2020-03-31,$12
2019-12-31,$15
2019-09-30,$30
2019-06-30,$12
2019-03-31,$9
2018-12-31,$12
2018-09-30,$26
2018-06-30,$10
2018-03-31,$8
2017-12-31,$32
2017-09-30,$27
2017-06-30,$12
2017-03-31,$10
2016-12-31,$18
2016-09-30,$29
2016-06-30,$11
2016-03-31,$10
2015-12-31,$20
2015-09-30,$26
2015-06-30,$11
2015-03-31,$9
2014-12-31,$18
2014-09-30,$27
2014-06-30,$9
2014-03-31,$10
2013-12-31,$17
2013-09-30,$26
2013-06-30,$8
2013-03-31,$9
2012-12-31,$13
2012-09-30,$23
2012-06-30,$8
2012-03-31,$9
2011-12-31,$10
2011-09-30,$19
2011-06-30,$6
2011-03-31,$8
2010-12-31,$9
2010-09-30,$26
2010-06-30,$8
2010-03-31,$9
2009-12-31,$7
2009-09-30,$27
2009-06-30,$10
2009-03-31,$8
