Natural Resource Partners LP Quarterly Net Income (Millions of US $),Natural Resource Partners LP Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$53
2023-12-31,$62
2023-09-30,$43
2023-06-30,$37
2023-03-31,$55
2022-12-31,$55
2022-09-30,$66
2022-06-30,$58
2022-03-31,$55
2021-12-31,$47
2021-09-30,$21
2021-06-30,$7
2021-03-31,$1
2020-12-31,$7
2020-09-30,$-0
2020-06-30,$-130
2020-03-31,$11
2019-12-31,$-124
2019-09-30,$31
2019-06-30,$12
2019-03-31,$28
2018-12-31,$41
2018-09-30,$21
2018-06-30,$29
2018-03-31,$17
2017-12-31,$22
2017-09-30,$18
2017-06-30,$18
2017-03-31,$3
2016-12-31,$3
2016-09-30,$23
2016-06-30,$46
2016-03-31,$23
2015-12-31,$-22
2015-09-30,$-586
2015-06-30,$31
2015-03-31,$17
2014-12-31,$8
2014-09-30,$35
2014-06-30,$31
2014-03-31,$32
2013-12-31,$46
2013-09-30,$35
2013-06-30,$40
2013-03-31,$47
2012-12-31,$59
2012-09-30,$51
2012-06-30,$49
2012-03-31,$50
2011-12-31,$-17
2011-09-30,$-30
2011-06-30,$55
2011-03-31,$44
2010-12-31,$42
2010-09-30,$39
2010-06-30,$28
2010-03-31,$17
2009-12-31,$27
2009-09-30,$25
2009-06-30,$5
2009-03-31,$22
