Weatherford Quarterly Net Income (Millions of US $),Weatherford Quarterly Net Income (Millions of US $).1
2024-06-30,$125
2024-03-31,$112
2023-12-31,$140
2023-09-30,$123
2023-06-30,$82
2023-03-31,$72
2022-12-31,$72
2022-09-30,$28
2022-06-30,$6
2022-03-31,$-80
2021-12-31,$-161
2021-09-30,$-95
2021-06-30,$-78
2021-03-31,$-116
2020-12-31,$-200
2020-09-30,$-174
2020-06-30,$-581
2020-03-31,$-966
2019-12-31,"$5,253"
2019-09-30,$-821
2019-06-30,$-316
2019-03-31,$-481
2018-12-31,"$-2,103"
2018-09-30,$-199
2018-06-30,$-264
2018-03-31,$-245
2017-12-31,"$-1,938"
2017-09-30,$-256
2017-06-30,$-171
2017-03-31,$-448
2016-12-31,$-549
2016-09-30,"$-1,780"
2016-06-30,$-565
2016-03-31,$-498
2015-12-31,"$-1,208"
2015-09-30,$-170
2015-06-30,$-489
2015-03-31,$-118
2014-12-31,$-475
2014-09-30,$77
2014-06-30,$-145
2014-03-31,$-41
2013-12-31,$-271
2013-09-30,$22
2013-06-30,$-118
2013-03-31,$22
2012-12-31,$-122
2012-09-30,$70
2012-06-30,$-849
2012-03-31,$123
2011-12-31,$-13
2011-09-30,$121
2011-06-30,$51
2011-03-31,$30
2010-12-31,$-195
2010-09-30,$95
2010-06-30,$-48
2010-03-31,$-68
2009-12-31,$-197
2009-09-30,$77
2009-06-30,$42
2009-03-31,$165
