Universal Display Quarterly Net Income (Millions of US $),Universal Display Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$57
2023-12-31,$63
2023-09-30,$51
2023-06-30,$49
2023-03-31,$40
2022-12-31,$66
2022-09-30,$53
2022-06-30,$41
2022-03-31,$50
2021-12-31,$47
2021-09-30,$46
2021-06-30,$40
2021-03-31,$51
2020-12-31,$54
2020-09-30,$40
2020-06-30,$1
2020-03-31,$38
2019-12-31,$26
2019-09-30,$37
2019-06-30,$43
2019-03-31,$31
2018-12-31,$19
2018-09-30,$23
2018-06-30,$11
2018-03-31,$6
2017-12-31,$32
2017-09-30,$13
2017-06-30,$46
2017-03-31,$10
2016-12-31,$25
2016-09-30,$-2
2016-06-30,$22
2016-03-31,$2
2015-12-31,$18
2015-09-30,$7
2015-06-30,$-12
2015-03-31,$1
2014-12-31,$13
2014-09-30,$4
2014-06-30,$20
2014-03-31,$4
2013-12-31,$58
2013-09-30,$6
2013-06-30,$15
2013-03-31,$-5
2012-12-31,$5
2012-09-30,$-5
2012-06-30,$11
2012-03-31,$-1
2011-12-31,$6
2011-09-30,$6
2011-06-30,$3
2011-03-31,$-12
2010-12-31,$-5
2010-09-30,$-7
2010-06-30,$-4
2010-03-31,$-3
2009-12-31,$-4
2009-09-30,$-5
2009-06-30,$-6
2009-03-31,$-6
