Ladder Capital Corp Quarterly Net Income (Millions of US $),Ladder Capital Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$17
2023-12-31,$19
2023-09-30,$31
2023-06-30,$28
2023-03-31,$22
2022-12-31,$60
2022-09-30,$29
2022-06-30,$35
2022-03-31,$19
2021-12-31,$27
2021-09-30,$19
2021-06-30,$10
2021-03-31,$0
2020-12-31,$-12
2020-09-30,$17
2020-06-30,$-4
2020-03-31,$-16
2019-12-31,$41
2019-09-30,$28
2019-06-30,$32
2019-03-31,$22
2018-12-31,$24
2018-09-30,$67
2018-06-30,$38
2018-03-31,$51
2017-12-31,$36
2017-09-30,$24
2017-06-30,$22
2017-03-31,$13
2016-12-31,$42
2016-09-30,$28
2016-06-30,$3
2016-03-31,$-6
2015-12-31,$27
2015-09-30,$3
2015-06-30,$34
2015-03-31,$9
2014-12-31,$4
2014-09-30,$15
2014-06-30,$13
2014-03-31,$13
2013-12-31,$22
2013-09-30,$20
2013-06-30,$60
2013-03-31,$88
2012-12-31,
2011-12-31,
2010-12-31,
