M&T Bank Quarterly Net Income (Millions of US $),M&T Bank Quarterly Net Income (Millions of US $).1
2024-06-30,$626
2024-03-31,$505
2023-12-31,$455
2023-09-30,$664
2023-06-30,$841
2023-03-31,$676
2022-12-31,$739
2022-09-30,$621
2022-06-30,$192
2022-03-31,$340
2021-12-31,$434
2021-09-30,$476
2021-06-30,$439
2021-03-31,$428
2020-12-31,$452
2020-09-30,$353
2020-06-30,$223
2020-03-31,$251
2019-12-31,$473
2019-09-30,$461
2019-06-30,$453
2019-03-31,$462
2018-12-31,$525
2018-09-30,$505
2018-06-30,$473
2018-03-31,$333
2017-12-31,$302
2017-09-30,$336
2017-06-30,$361
2017-03-31,$329
2016-12-31,$308
2016-09-30,$327
2016-06-30,$313
2016-03-31,$276
2015-12-31,$248
2015-09-30,$257
2015-06-30,$263
2015-03-31,$219
2014-12-31,$254
2014-09-30,$252
2014-06-30,$261
2014-03-31,$212
2013-12-31,$203
2013-09-30,$275
2013-06-30,$329
2013-03-31,$255
2012-12-31,$277
2012-09-30,$274
2012-06-30,$215
2012-03-31,$188
2011-12-31,$130
2011-09-30,$165
2011-06-30,$297
2011-03-31,$190
2010-12-31,$189
2010-09-30,$177
2010-06-30,$174
2010-03-31,$136
2009-12-31,$123
2009-09-30,$114
2009-06-30,$41
2009-03-31,$55
