Natera Quarterly Net Income (Millions of US $),Natera Quarterly Net Income (Millions of US $).1
2024-06-30,$-37
2024-03-31,$-68
2023-12-31,$-78
2023-09-30,$-109
2023-06-30,$-111
2023-03-31,$-137
2022-12-31,$-143
2022-09-30,$-121
2022-06-30,$-145
2022-03-31,$-139
2021-12-31,$-141
2021-09-30,$-151
2021-06-30,$-116
2021-03-31,$-64
2020-12-31,$-76
2020-09-30,$-58
2020-06-30,$-60
2020-03-31,$-35
2019-12-31,$-35
2019-09-30,$-23
2019-06-30,$-32
2019-03-31,$-34
2018-12-31,$-32
2018-09-30,$-30
2018-06-30,$-34
2018-03-31,$-33
2017-12-31,$-47
2017-09-30,$-28
2017-06-30,$-29
2017-03-31,$-33
2016-12-31,$-42
2016-09-30,$-26
2016-06-30,$-23
2016-03-31,$-9
2015-12-31,$-23
2015-09-30,$-18
2015-06-30,$-20
2015-03-31,$-10
2014-12-31,
2014-09-30,$0
2014-06-30,$-1
2013-12-31,
