Marriott Vacations Worldwide Quarterly Net Income (Millions of US $),Marriott Vacations Worldwide Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$47
2023-12-31,$35
2023-09-30,$42
2023-06-30,$90
2023-03-31,$87
2022-12-31,$88
2022-09-30,$109
2022-06-30,$136
2022-03-31,$58
2021-12-31,$61
2021-09-30,$10
2021-06-30,$6
2021-03-31,$-28
2020-12-31,$-37
2020-09-30,$-62
2020-06-30,$-70
2020-03-31,$-106
2019-12-31,$74
2019-09-30,$-9
2019-06-30,$49
2019-03-31,$24
2018-12-31,$44
2018-09-30,$-36
2018-06-30,$11
2018-03-31,$36
2017-12-31,$119
2017-09-30,$40
2017-06-30,$48
2017-03-31,$28
2016-12-31,$34
2016-09-30,$27
2016-06-30,$36
2016-03-31,$24
2015-12-31,$33
2015-09-30,$22
2015-06-30,$34
2015-03-31,$34
2014-12-31,$0
2014-09-30,$26
2014-06-30,$35
2014-03-31,$19
2013-12-31,$6
2013-09-30,$25
2013-06-30,$30
2013-03-31,$19
2012-12-31,$-12
2012-09-30,$5
2012-06-30,$5
2012-03-31,$9
2011-12-31,$14
2011-09-30,$-221
2011-06-30,$16
2011-03-31,$19
2010-12-31,
2010-09-30,$19
2009-12-31,
