Agnico Eagle Mines Quarterly Net Income (Millions of US $),Agnico Eagle Mines Quarterly Net Income (Millions of US $).1
2024-06-30,$472
2024-03-31,$347
2023-12-31,$-378
2023-09-30,$179
2023-06-30,$324
2023-03-31,"$1,817"
2022-12-31,$194
2022-09-30,$67
2022-06-30,$290
2022-03-31,$119
2021-12-31,$101
2021-09-30,$119
2021-06-30,$196
2021-03-31,$145
2020-12-31,$205
2020-09-30,$223
2020-06-30,$105
2020-03-31,$-22
2019-12-31,$332
2019-09-30,$77
2019-06-30,$28
2019-03-31,$37
2018-12-31,$-394
2018-09-30,$17
2018-06-30,$5
2018-03-31,$45
2017-12-31,$38
2017-09-30,$72
2017-06-30,$55
2017-03-31,$76
2016-12-31,$63
2016-09-30,$49
2016-06-30,$19
2016-03-31,$28
2015-12-31,$-16
2015-09-30,$1
2015-06-30,$10
2015-03-31,$29
2014-12-31,$-21
2014-09-30,$-15
2014-06-30,$22
2014-03-31,$97
2013-12-31,$-761
2013-09-30,$75
2013-06-30,$-24
2013-03-31,$24
2012-12-31,$83
2012-09-30,$106
2012-06-30,$43
2012-03-31,$79
2011-12-31,$-601
2011-09-30,$-82
2011-06-30,$69
2011-03-31,$45
2010-12-31,$88
2010-09-30,$121
2010-06-30,$100
2010-03-31,$22
2009-12-31,$48
2009-09-30,$-17
2009-06-30,$1
2009-03-31,$54
