Dover Quarterly Net Income (Millions of US $),Dover Quarterly Net Income (Millions of US $).1
2024-06-30,$282
2024-03-31,$632
2023-12-31,$296
2023-09-30,$290
2023-06-30,$242
2023-03-31,$229
2022-12-31,$264
2022-09-30,$286
2022-06-30,$290
2022-03-31,$226
2021-12-31,$363
2021-09-30,$264
2021-06-30,$265
2021-03-31,$233
2020-12-31,$182
2020-09-30,$200
2020-06-30,$125
2020-03-31,$176
2019-12-31,$168
2019-09-30,$206
2019-06-30,$198
2019-03-31,$106
2018-12-31,$142
2018-09-30,$157
2018-06-30,$140
2018-03-31,$131
2017-12-31,$296
2017-09-30,$179
2017-06-30,$164
2017-03-31,$172
2016-12-31,$161
2016-09-30,$130
2016-06-30,$118
2016-03-31,$99
2015-12-31,$142
2015-09-30,$186
2015-06-30,$332
2015-03-31,$210
2014-12-31,$169
2014-09-30,$232
2014-06-30,$214
2014-03-31,$160
2013-12-31,$194
2013-09-30,$269
2013-06-30,$330
2013-03-31,$210
2012-12-31,$160
2012-09-30,$241
2012-06-30,$214
2012-03-31,$196
2011-12-31,$278
2011-09-30,$172
2011-06-30,$250
2011-03-31,$195
2010-12-31,$198
2010-09-30,$224
2010-06-30,$170
2010-03-31,$108
2009-12-31,$99
2009-09-30,$107
2009-06-30,$97
2009-03-31,$53
