Alliance Resource Partners Quarterly Net Income (Millions of US $),Alliance Resource Partners Quarterly Net Income (Millions of US $).1
2024-06-30,$98
2024-03-31,$155
2023-12-31,$112
2023-09-30,$150
2023-06-30,$165
2023-03-31,$184
2022-12-31,$208
2022-09-30,$159
2022-06-30,$156
2022-03-31,$35
2021-12-31,$49
2021-09-30,$58
2021-06-30,$43
2021-03-31,$24
2020-12-31,$35
2020-09-30,$27
2020-06-30,$-47
2020-03-31,$-145
2019-12-31,$25
2019-09-30,$39
2019-06-30,$57
2019-03-31,$272
2018-12-31,$44
2018-09-30,$74
2018-06-30,$86
2018-03-31,$154
2017-12-31,$69
2017-09-30,$61
2017-06-30,$62
2017-03-31,$85
2016-12-31,$95
2016-09-30,$69
2016-06-30,$61
2016-03-31,$27
2015-12-31,$-14
2015-09-30,$46
2015-06-30,$56
2015-03-31,$68
2014-12-31,$87
2014-09-30,$83
2014-06-30,$101
2014-03-31,$81
2013-12-31,$68
2013-09-30,$55
2013-06-30,$72
2013-03-31,$72
2012-12-31,$69
2012-09-30,$33
2012-06-30,$67
2012-03-31,$57
2011-12-31,$71
2011-09-30,$79
2011-06-30,$75
2011-03-31,$73
2010-12-31,$67
2010-09-30,$54
2010-06-30,$67
2010-03-31,$57
2009-12-31,$26
2009-09-30,$21
2009-06-30,$26
2009-03-31,$57
