St Joe Quarterly Net Income (Millions of US $),St Joe Quarterly Net Income (Millions of US $).1
2024-06-30,$25
2024-03-31,$14
2023-12-31,$13
2023-09-30,$19
2023-06-30,$35
2023-03-31,$10
2022-12-31,$28
2022-09-30,$12
2022-06-30,$17
2022-03-31,$13
2021-12-31,$32
2021-09-30,$15
2021-06-30,$24
2021-03-31,$3
2020-12-31,$20
2020-09-30,$8
2020-06-30,$19
2020-03-31,$-2
2019-12-31,$9
2019-09-30,$6
2019-06-30,$10
2019-03-31,$2
2018-12-31,$-0
2018-09-30,$5
2018-06-30,$26
2018-03-31,$1
2017-12-31,$39
2017-09-30,$6
2017-06-30,$11
2017-03-31,$4
2016-12-31,$3
2016-09-30,$3
2016-06-30,$2
2016-03-31,$9
2015-12-31,$-3
2015-09-30,$3
2015-06-30,$-0
2015-03-31,$-2
2014-12-31,$-11
2014-09-30,$-0
2014-06-30,$15
2014-03-31,$403
2013-12-31,$1
2013-09-30,$4
2013-06-30,$3
2013-03-31,$-2
2012-12-31,$-9
2012-09-30,$15
2012-06-30,$0
2012-03-31,$-1
2011-12-31,$-329
2011-09-30,$-2
2011-06-30,$-13
2011-03-31,$14
2010-12-31,$-3
2010-09-30,$-13
2010-06-30,$-9
2010-03-31,$-11
2009-12-31,$-59
2009-09-30,$-14
2009-06-30,$-45
2009-03-31,$-12
