FMC Quarterly Net Income (Millions of US $),FMC Quarterly Net Income (Millions of US $).1
2024-06-30,$295
2024-03-31,$-3
2023-12-31,"$1,096"
2023-09-30,$-4
2023-06-30,$31
2023-03-31,$196
2022-12-31,$272
2022-09-30,$121
2022-06-30,$134
2022-03-31,$207
2021-12-31,$193
2021-09-30,$160
2021-06-30,$203
2021-03-31,$183
2020-12-31,$49
2020-09-30,$111
2020-06-30,$184
2020-03-31,$206
2019-12-31,$-5
2019-09-30,$90
2019-06-30,$175
2019-03-31,$216
2018-12-31,$32
2018-09-30,$73
2018-06-30,$130
2018-03-31,$267
2017-12-31,$530
2017-09-30,$55
2017-06-30,$75
2017-03-31,$-124
2016-12-31,$16
2016-09-30,$80
2016-06-30,$65
2016-03-31,$48
2015-12-31,$-204
2015-09-30,$-2
2015-06-30,$742
2015-03-31,$-47
2014-12-31,$77
2014-09-30,$56
2014-06-30,$109
2014-03-31,$65
2013-12-31,$27
2013-09-30,$18
2013-06-30,$118
2013-03-31,$130
2012-12-31,$102
2012-09-30,$90
2012-06-30,$104
2012-03-31,$119
2011-12-31,$79
2011-09-30,$86
2011-06-30,$107
2011-03-31,$94
2010-12-31,$-52
2010-09-30,$82
2010-06-30,$65
2010-03-31,$77
2009-12-31,$62
2009-09-30,$28
2009-06-30,$69
2009-03-31,$69
