Owens & Minor Quarterly Net Income (Millions of US $),Owens & Minor Quarterly Net Income (Millions of US $).1
2024-06-30,$-32
2024-03-31,$-22
2023-12-31,$18
2023-09-30,$-6
2023-06-30,$-28
2023-03-31,$-24
2022-12-31,$-58
2022-09-30,$12
2022-06-30,$29
2022-03-31,$39
2021-12-31,$42
2021-09-30,$44
2021-06-30,$66
2021-03-31,$70
2020-12-31,$51
2020-09-30,$46
2020-06-30,$-56
2020-03-31,$-11
2019-12-31,$-39
2019-09-30,$1
2019-06-30,$-10
2019-03-31,$-14
2018-12-31,$-261
2018-09-30,$-1
2018-06-30,$-183
2018-03-31,$8
2017-12-31,$23
2017-09-30,$11
2017-06-30,$20
2017-03-31,$19
2016-12-31,$27
2016-09-30,$30
2016-06-30,$27
2016-03-31,$24
2015-12-31,$32
2015-09-30,$28
2015-06-30,$24
2015-03-31,$19
2014-12-31,$14
2014-09-30,$7
2014-06-30,$20
2014-03-31,$25
2013-12-31,$28
2013-09-30,$28
2013-06-30,$29
2013-03-31,$26
2012-12-31,$25
2012-09-30,$24
2012-06-30,$30
2012-03-31,$29
2011-12-31,$24
2011-09-30,$33
2011-06-30,$29
2011-03-31,$28
2010-12-31,$22
2010-09-30,$31
2010-06-30,$29
2010-03-31,$28
2009-12-31,$33
2009-09-30,$34
2009-06-30,$24
2009-03-31,$14
