Ocular Therapeutix Quarterly Net Income (Millions of US $),Ocular Therapeutix Quarterly Net Income (Millions of US $).1
2024-06-30,$-44
2024-03-31,$-65
2023-12-31,$-29
2023-09-30,$-1
2023-06-30,$-21
2023-03-31,$-30
2022-12-31,$-16
2022-09-30,$-24
2022-06-30,$-19
2022-03-31,$-13
2021-12-31,$-4
2021-09-30,$3
2021-06-30,$-8
2021-03-31,$3
2020-12-31,$-86
2020-09-30,$-12
2020-06-30,$-37
2020-03-31,$-22
2019-12-31,$-26
2019-09-30,$-19
2019-06-30,$-24
2019-03-31,$-17
2018-12-31,$-17
2018-09-30,$-15
2018-06-30,$-14
2018-03-31,$-14
2017-12-31,$-13
2017-09-30,$-16
2017-06-30,$-19
2017-03-31,$-16
2016-12-31,$-13
2016-09-30,$-10
2016-06-30,$-11
2016-03-31,$-11
2015-12-31,$-11
2015-09-30,$-12
2015-06-30,$-10
2015-03-31,$-8
2014-12-31,$-8
2014-09-30,$-7
2014-06-30,$-6
2014-03-31,$-7
2013-12-31,
2013-09-30,$-4
2013-06-30,$-3
2012-12-31,
