Bain Capital Specialty Finance Quarterly Net Income (Millions of US $),Bain Capital Specialty Finance Quarterly Net Income (Millions of US $).1
2024-06-30,$29
2024-03-31,$35
2023-12-31,$31
2023-09-30,$34
2023-06-30,$29
2023-03-31,$29
2022-12-31,$44
2022-09-30,$11
2022-06-30,$17
2022-03-31,$34
2021-12-31,$22
2021-09-30,$23
2021-06-30,$42
2021-03-31,$32
2020-12-31,$39
2020-09-30,$51
2020-06-30,$22
2020-03-31,$-104
2019-12-31,$21
2019-09-30,$18
2019-06-30,$19
2019-03-31,$39
2018-12-31,$-10
2018-09-30,$19
2018-06-30,$6
2018-03-31,$11
2017-12-31,$7
2017-09-30,$7
2017-06-30,$4
2017-03-31,$2
2016-12-31,$1
2016-09-30,$-1
2016-06-30,
2016-03-31,
2015-12-31,
